fecha;a¤o;mes;dia
01/11/2015;2015;11;1
02/11/2015;2015;11;2
03/11/2015;2015;11;3
04/11/2015;2015;11;4
05/11/2015;2015;11;5
06/11/2015;2015;11;6
07/11/2015;2015;11;7
08/11/2015;2015;11;8
09/11/2015;2015;11;9
10/11/2015;2015;11;10
11/11/2015;2015;11;11
12/11/2015;2015;11;12
13/11/2015;2015;11;13
14/11/2015;2015;11;14
15/11/2015;2015;11;15
16/11/2015;2015;11;16
17/11/2015;2015;11;17
18/11/2015;2015;11;18
19/11/2015;2015;11;19
20/11/2015;2015;11;20
21/11/2015;2015;11;21
22/11/2015;2015;11;22
23/11/2015;2015;11;23
24/11/2015;2015;11;24
25/11/2015;2015;11;25
26/11/2015;2015;11;26
27/11/2015;2015;11;27
28/11/2015;2015;11;28
29/11/2015;2015;11;29
30/11/2015;2015;11;30
01/12/2015;2015;12;1
02/12/2015;2015;12;2
03/12/2015;2015;12;3
04/12/2015;2015;12;4
05/12/2015;2015;12;5
06/12/2015;2015;12;6
07/12/2015;2015;12;7
08/12/2015;2015;12;8
09/12/2015;2015;12;9
10/12/2015;2015;12;10
11/12/2015;2015;12;11
12/12/2015;2015;12;12
13/12/2015;2015;12;13
14/12/2015;2015;12;14
15/12/2015;2015;12;15
16/12/2015;2015;12;16
17/12/2015;2015;12;17
18/12/2015;2015;12;18
19/12/2015;2015;12;19
20/12/2015;2015;12;20
21/12/2015;2015;12;21
22/12/2015;2015;12;22
23/12/2015;2015;12;23
24/12/2015;2015;12;24
25/12/2015;2015;12;25
26/12/2015;2015;12;26
27/12/2015;2015;12;27
28/12/2015;2015;12;28
29/12/2015;2015;12;29
30/12/2015;2015;12;30
31/12/2015;2015;12;31
01/01/2016;2016;1;1
02/01/2016;2016;1;2
03/01/2016;2016;1;3
04/01/2016;2016;1;4
05/01/2016;2016;1;5
06/01/2016;2016;1;6
07/01/2016;2016;1;7
08/01/2016;2016;1;8
09/01/2016;2016;1;9
10/01/2016;2016;1;10
11/01/2016;2016;1;11
12/01/2016;2016;1;12
13/01/2016;2016;1;13
14/01/2016;2016;1;14
15/01/2016;2016;1;15
16/01/2016;2016;1;16
17/01/2016;2016;1;17
18/01/2016;2016;1;18
19/01/2016;2016;1;19
20/01/2016;2016;1;20
21/01/2016;2016;1;21
22/01/2016;2016;1;22
23/01/2016;2016;1;23
24/01/2016;2016;1;24
25/01/2016;2016;1;25
26/01/2016;2016;1;26
